enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,tokenizedEquity
True,False,0.0001,1.0,1.0,2.8696,2.8716,2.8729,2.8716,future,,,1INCH,False,False,-0.0001392757660167131,-0.06793469440747833,-0.04869807195388591,7817260.2142,7817260.2142,
True,False,0.0001,1.0,1.0,2.8532,2.8547,2.8629,2.8547,future,,,1INCH,False,False,0.00021022388844118986,-0.06748766863750694,-0.05068005719796482,24169.4195,24169.4195,
True,False,0.0001,1.0,1.0,2.7813,2.7964,2.8024,2.7964,future,,,1INCH,False,False,-0.0021410219811590064,-0.07645562931404604,-0.052613748009621576,14665.4246,14665.4246,
True,False,0.0001,1.0,1.0,2.8719,2.8721,2.8759,2.8721,spot,1INCH,USD,,False,True,-0.0013213254981049411,-0.06928286723484235,-0.05029429270550889,304468.8342,304468.8342,
True,False,0.01,0.01,0.01,130.96,129.01,130.97,130.96,future,,,AAPL,True,False,0.0,0.00237275162648297,0.00237275162648297,5321.682,5321.682,True
True,False,0.01,0.01,0.01,130.7,130.0,130.7,130.7,future,,,AAPL,True,False,-7.650524060898171e-05,-0.0002294806088885489,-0.0002294806088885489,2200.9102,2200.9102,True
True,False,0.01,0.01,0.01,129.93,129.71,129.93,129.93,spot,AAPL,USD,,True,True,0.0,0.0037079953650057938,-0.004977791392249961,506.6617,506.6617,True
True,False,0.01,0.01,0.01,248.94,248.88,249.06,248.94,future,,,AAVE,False,False,-0.012260445185097012,-0.061948903459190595,-0.022307752729557772,26468007.2387,26468007.2387,
True,False,0.01,0.01,0.01,249.03,248.18,250.06,249.03,future,,,AAVE,False,False,-0.006304616735166194,-0.0656586500581548,-0.023526643924244205,176248.0939,176248.0939,
True,False,0.01,0.01,0.01,253.8,250.77,253.14,253.14,future,,,AAVE,False,False,-0.0044049398253755995,-0.05629287205487623,-0.024395883917215862,3221.9674,3221.9674,
True,False,0.01,0.01,0.01,248.76,248.68,248.97,248.76,spot,AAVE,USD,,False,True,-0.009161156695610611,-0.06266249670296545,-0.02420272231592986,4116692.364,4116692.364,
True,False,0.01,0.01,0.01,248.61,248.66,249.08,248.66,spot,AAVE,USDT,,False,True,-0.009401641303481794,-0.0636743608088263,-0.02398241551203046,183704.7056,183694.4438551452,
